ordernumber,productline,quantityordered,dealsize,priceeach,sales,msrp,expsales,profit_loss,orderlinenumber,status,monthordered,dayordered,yearorders,qtr_id,productcode,customername,contactnames,phone,addressline1,city,country
10263,Motorcycles,34,Medium,100,3400,95,3230,170,2,Shipped,June,28,2004,2,S10_1678,Gift Depot Inc.,Julie King,2035552570,25593 South Bay Ln.,Bridgewater,USA
10275,Motorcycles,45,Medium,92.83,4177.35,95,4275,-97.65,1,Shipped,July,23,2004,3,S10_1678,La Rochelle Gifts,Janine Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,France
10285,Motorcycles,36,Medium,100,3600,95,3420,180,6,Shipped,August,27,2004,3,S10_1678,Marta's Replicas Co.,Marta Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,USA
10299,Motorcycles,23,Small,100,2300,95,2185,115,9,Shipped,September,30,2004,3,S10_1678,"Toys of Finland, Co.",Matti Karttunen,90-224 8555,Keskuskatu 45,Helsinki,Finland
10309,Motorcycles,41,Medium,100,4100,95,3895,205,5,Shipped,October,15,2004,4,S10_1678,Baane Mini Imports,Jonas Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,Norway
10318,Motorcycles,46,Medium,94.74,4358.04,95,4370,-11.96,1,Shipped,November,2,2004,4,S10_1678,Diecast Classics Inc.,Kyung Yu,2155551555,7586 Pompton St.,Allentown,USA
10329,Motorcycles,42,Medium,100,4200,95,3990,210,1,Shipped,November,15,2004,4,S10_1678,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10341,Motorcycles,41,Large,100,4100,95,3895,205,9,Shipped,November,24,2004,4,S10_1678,Salzburg Collectables,Georg Pipps,6562-9555,Geislweg 14,Salzburg,Austria
10361,Motorcycles,20,Small,72.55,1451,95,1900,-449,13,Shipped,December,17,2004,4,S10_1678,Souveniers And Things Co.,Adrian Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
10375,Motorcycles,21,Small,34.91,733.11,95,1995,-1261.89,12,Shipped,February,3,2005,1,S10_1678,La Rochelle Gifts,Janine Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,France
10388,Motorcycles,42,Medium,76.36,3207.12,95,3990,-782.88,4,Shipped,March,3,2005,1,S10_1678,FunGiftIdeas.com,Violeta Benitez,5085552555,1785 First Street,New Bedford,USA
10403,Motorcycles,24,Small,100,2400,95,2280,120,7,Shipped,April,8,2005,2,S10_1678,"UK Collectables, Ltd.",Elizabeth Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK
10417,Motorcycles,66,Large,100,6600,95,6270,330,2,Disputed,May,13,2005,2,S10_1678,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10103,Classic Cars,26,Medium,100,2600,214,5564,-2964,11,Shipped,January,29,2003,1,S10_1949,Baane Mini Imports,Jonas Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,Norway
10112,Classic Cars,29,Large,100,2900,214,6206,-3306,1,Shipped,March,24,2003,1,S10_1949,"Volvo Model Replicas, Co",Christina Berglund,0921-12 3555,Berguvsv„gen  8,Lule,Sweden
10126,Classic Cars,38,Large,100,3800,214,8132,-4332,11,Shipped,May,28,2003,2,S10_1949,"Corrida Auto Replicas, Ltd",Mart¡n Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,Spain
10140,Classic Cars,37,Large,100,3700,214,7918,-4218,11,Shipped,July,24,2003,3,S10_1949,Technics Stores Inc.,Juri Hirano,6505556809,9408 Furth Circle,Burlingame,USA
10150,Classic Cars,45,Large,100,4500,214,9630,-5130,8,Shipped,September,19,2003,3,S10_1949,"Dragon Souveniers, Ltd.",Eric Natividad,+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore
10163,Classic Cars,21,Medium,100,2100,214,4494,-2394,1,Shipped,October,20,2003,4,S10_1949,Classic Legends Inc.,Maria Hernandez,2125558493,5905 Pompton St.,NYC,USA
10174,Classic Cars,34,Large,100,3400,214,7276,-3876,4,Shipped,November,6,2003,4,S10_1949,"Australian Gift Network, Co",Tony Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,Australia
10183,Classic Cars,23,Medium,100,2300,214,4922,-2622,8,Shipped,November,13,2003,4,S10_1949,"Classic Gift Ideas, Inc",Francisca Cervantes,2155554695,782 First Street,Philadelphia,USA
10194,Classic Cars,42,Large,100,4200,214,8988,-4788,11,Shipped,November,25,2003,4,S10_1949,"Saveley & Henriot, Co.",Mary Saveley,78.32.5555,"2, rue du Commerce",Lyon,France
10206,Classic Cars,47,Large,100,4700,214,10058,-5358,6,Shipped,December,5,2003,4,S10_1949,Canadian Gift Exchange Network,Yoshi Tannamuri,(604) 555-3392,1900 Oak St.,Vancouver,Canada
10215,Classic Cars,35,Medium,100,3500,214,7490,-3990,3,Shipped,January,29,2004,1,S10_1949,West Coast Collectables Co.,Steve Thompson,3105553722,3675 Furth Circle,Burbank,USA
10228,Classic Cars,29,Medium,100,2900,214,6206,-3306,2,Shipped,March,10,2004,1,S10_1949,Cambridge Collectables Co.,Kyung Tseng,6175555555,4658 Baden Av.,Cambridge,USA
10245,Classic Cars,34,Medium,100,3400,214,7276,-3876,9,Shipped,May,4,2004,2,S10_1949,Super Scale Inc.,Leslie Murphy,2035559545,567 North Pendale Street,New Haven,USA
10258,Classic Cars,32,Large,100,3200,214,6848,-3648,6,Shipped,June,15,2004,2,S10_1949,"Tokyo Collectables, Ltd",Akiko Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan
10270,Classic Cars,21,Medium,100,2100,214,4494,-2394,9,Shipped,July,19,2004,3,S10_1949,Souveniers And Things Co.,Adrian Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
10280,Classic Cars,34,Large,100,3400,214,7276,-3876,2,Shipped,August,17,2004,3,S10_1949,Amica Models & Co.,Paolo Accorti,011-4988555,Via Monte Bianco 34,Torino,Italy
10291,Classic Cars,37,Large,100,3700,214,7918,-4218,11,Shipped,September,8,2004,3,S10_1949,Scandinavian Gift Ideas,Maria Larsson,0695-34 6555,?kergatan 24,Boras,Sweden
10304,Classic Cars,47,Large,100,4700,214,10058,-5358,6,Shipped,October,11,2004,4,S10_1949,Auto Assoc. & Cie.,Daniel Tonini,30.59.8555,"67, avenue de l'Europe",Versailles,France
10312,Classic Cars,48,Large,100,4800,214,10272,-5472,3,Shipped,October,21,2004,4,S10_1949,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10322,Classic Cars,40,Medium,100,4000,214,8560,-4560,1,Shipped,November,4,2004,4,S10_1949,Online Diecast Creations Co.,Valarie Young,6035558647,2304 Long Airport Avenue,Nashua,USA
10333,Classic Cars,26,Medium,100,2600,214,5564,-2964,3,Shipped,November,18,2004,4,S10_1949,Mini Wheels Co.,Julie Murphy,6505555787,5557 North Pendale Street,San Francisco,USA
10347,Classic Cars,30,Medium,100,3000,214,6420,-3420,1,Shipped,November,29,2004,4,S10_1949,"Australian Collectors, Co.",Peter Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,Australia
10357,Classic Cars,32,Medium,100,3200,214,6848,-3648,10,Shipped,December,10,2004,4,S10_1949,Mini Gifts Distributors Ltd.,Valarie Nelson,4155551450,5677 Strong St.,San Rafael,USA
10369,Classic Cars,41,Medium,100,4100,214,8774,-4674,2,Shipped,January,20,2005,1,S10_1949,Collectables For Less Inc.,Allen Nelson,6175558555,7825 Douglas Av.,Brickhaven,USA
10381,Classic Cars,36,Large,100,3600,214,7704,-4104,3,Shipped,February,17,2005,1,S10_1949,Corporate Gift Ideas Co.,Julie Brown,6505551386,7734 Strong St.,San Francisco,USA
10391,Classic Cars,24,Small,100,2400,214,5136,-2736,4,Shipped,March,9,2005,1,S10_1949,"Anna's Decorations, Ltd",Anna O'Hara,02 9936 8555,201 Miller Street,North Sydney,Australia
10411,Classic Cars,23,Medium,100,2300,214,4922,-2622,9,Shipped,May,1,2005,2,S10_1949,Quebec Home Shopping Network,Jean Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,Canada
10424,Classic Cars,50,Large,100,5000,214,10700,-5700,6,In Process,May,31,2005,2,S10_1949,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10107,Motorcycles,39,Medium,99.91,3896.49,118,4602,-705.51,5,Shipped,February,24,2003,1,S10_2016,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10120,Motorcycles,29,Small,96.34,2793.86,118,3422,-628.14,3,Shipped,April,29,2003,2,S10_2016,"Australian Collectors, Co.",Peter Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,Australia
10134,Motorcycles,27,Medium,100,2700,118,3186,-486,5,Shipped,July,1,2003,3,S10_2016,Lyon Souveniers,Daniel Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France
10145,Motorcycles,37,Medium,100,3700,118,4366,-666,9,Shipped,August,25,2003,3,S10_2016,Toys4GrownUps.com,Julie Young,6265557265,78934 Hillside Dr.,Pasadena,USA
10159,Motorcycles,37,Medium,100,3700,118,4366,-666,17,Shipped,October,10,2003,4,S10_2016,Corporate Gift Ideas Co.,Julie Brown,6505551386,7734 Strong St.,San Francisco,USA
10168,Motorcycles,27,Medium,100,2700,118,3186,-486,4,Shipped,October,28,2003,4,S10_2016,Technics Stores Inc.,Juri Hirano,6505556809,9408 Furth Circle,Burlingame,USA
10180,Motorcycles,42,Medium,100,4200,118,4956,-756,12,Shipped,November,11,2003,4,S10_2016,Daedalus Designs Imports,Martine Rance,20.16.1555,"184, chausse de Tournai",Lille,France
10188,Motorcycles,38,Medium,96.34,3660.92,118,4484,-823.08,4,Shipped,November,18,2003,4,S10_2016,Herkku Gifts,Veysel Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway
10201,Motorcycles,24,Medium,100,2400,118,2832,-432,5,Shipped,December,1,2003,4,S10_2016,Mini Wheels Co.,Julie Murphy,6505555787,5557 North Pendale Street,San Francisco,USA
10210,Motorcycles,23,Medium,100,2300,118,2714,-414,2,Shipped,January,12,2004,1,S10_2016,Osaka Souveniers Co.,Mory Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan
10223,Motorcycles,47,Medium,100,4700,118,5546,-846,4,Shipped,February,20,2004,1,S10_2016,"Australian Collectors, Co.",Peter Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,Australia
10236,Motorcycles,22,Small,100,2200,118,2596,-396,1,Shipped,April,3,2004,2,S10_2016,Motor Mint Distributors Inc.,Rosa Hernandez,2155559857,11328 Douglas Av.,Philadelphia,USA
10251,Motorcycles,44,Medium,100,4400,118,5192,-792,5,Shipped,May,18,2004,2,S10_2016,Tekni Collectables Inc.,William Brown,2015559350,7476 Moss Rd.,Newark,USA
10263,Motorcycles,40,Medium,100,4000,118,4720,-720,5,Shipped,June,28,2004,2,S10_2016,Gift Depot Inc.,Julie King,2035552570,25593 South Bay Ln.,Bridgewater,USA
10275,Motorcycles,22,Small,100,2200,118,2596,-396,4,Shipped,July,23,2004,3,S10_2016,La Rochelle Gifts,Janine Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,France
10285,Motorcycles,47,Medium,100,4700,118,5546,-846,9,Shipped,August,27,2004,3,S10_2016,Marta's Replicas Co.,Marta Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,USA
10298,Motorcycles,39,Medium,96.34,3757.26,118,4602,-844.74,1,Shipped,September,27,2004,3,S10_2016,Atelier graphique,Carine Schmitt,40.32.2555,"54, rue Royale",Nantes,France
10308,Motorcycles,34,Medium,100,3400,118,4012,-612,2,Shipped,October,15,2004,4,S10_2016,Mini Classics,Steve Frick,9145554562,3758 North Pendale Street,White Plains,USA
10318,Motorcycles,45,Medium,100,4500,118,5310,-810,4,Shipped,November,2,2004,4,S10_2016,Diecast Classics Inc.,Kyung Yu,2155551555,7586 Pompton St.,Allentown,USA
10329,Motorcycles,20,Medium,100,2000,118,2360,-360,2,Shipped,November,15,2004,4,S10_2016,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10339,Motorcycles,40,Small,68.92,2756.8,118,4720,-1963.2,4,Shipped,November,23,2004,4,S10_2016,"Tokyo Collectables, Ltd",Akiko Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan
10361,Motorcycles,26,Small,51.15,1329.9,118,3068,-1738.1,8,Shipped,December,17,2004,4,S10_2016,Souveniers And Things Co.,Adrian Huxley,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia
10374,Motorcycles,39,Medium,100,3900,118,4602,-702,5,Shipped,February,2,2005,1,S10_2016,"Australian Gift Network, Co",Tony Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,Australia
10388,Motorcycles,50,Small,44.51,2225.5,118,5900,-3674.5,5,Shipped,March,3,2005,1,S10_2016,FunGiftIdeas.com,Violeta Benitez,5085552555,1785 First Street,New Bedford,USA
10402,Motorcycles,45,Medium,100,4500,118,5310,-810,1,Shipped,April,7,2005,2,S10_2016,Auto Canal Petit,Dominique Perrier,(1) 47.55.6555,"25, rue Lauriston",Paris,France
10417,Motorcycles,45,Medium,100,4500,118,5310,-810,5,Disputed,May,13,2005,2,S10_2016,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10107,Motorcycles,27,Medium,100,2700,193,5211,-2511,4,Shipped,February,24,2003,1,S10_4698,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10120,Motorcycles,46,Large,100,4600,193,8878,-4278,2,Shipped,April,29,2003,2,S10_4698,"Australian Collectors, Co.",Peter Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,Australia
10134,Motorcycles,31,Large,100,3100,193,5983,-2883,4,Shipped,July,1,2003,3,S10_4698,Lyon Souveniers,Daniel Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France
10145,Motorcycles,33,Medium,100,3300,193,6369,-3069,8,Shipped,August,25,2003,3,S10_4698,Toys4GrownUps.com,Julie Young,6265557265,78934 Hillside Dr.,Pasadena,USA
10159,Motorcycles,22,Medium,100,2200,193,4246,-2046,16,Shipped,October,10,2003,4,S10_4698,Corporate Gift Ideas Co.,Julie Brown,6505551386,7734 Strong St.,San Francisco,USA
10168,Motorcycles,20,Medium,100,2000,193,3860,-1860,3,Shipped,October,28,2003,4,S10_4698,Technics Stores Inc.,Juri Hirano,6505556809,9408 Furth Circle,Burlingame,USA
10180,Motorcycles,41,Large,100,4100,193,7913,-3813,11,Shipped,November,11,2003,4,S10_4698,Daedalus Designs Imports,Martine Rance,20.16.1555,"184, chausse de Tournai",Lille,France
10188,Motorcycles,45,Large,100,4500,193,8685,-4185,3,Shipped,November,18,2003,4,S10_4698,Herkku Gifts,Veysel Oeztan,+47 2267 3215,"Drammen 121, PR 744 Sentrum",Bergen,Norway
10201,Motorcycles,49,Large,100,4900,193,9457,-4557,4,Shipped,December,1,2003,4,S10_4698,Mini Wheels Co.,Julie Murphy,6505555787,5557 North Pendale Street,San Francisco,USA
10210,Motorcycles,34,Medium,100,3400,193,6562,-3162,1,Shipped,January,12,2004,1,S10_4698,Osaka Souveniers Co.,Mory Kentary,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",Osaka,Japan
10223,Motorcycles,49,Large,100,4900,193,9457,-4557,3,Shipped,February,20,2004,1,S10_4698,"Australian Collectors, Co.",Peter Ferguson,03 9520 4555,636 St Kilda Road,Melbourne,Australia
10237,Motorcycles,39,Large,100,3900,193,7527,-3627,9,Shipped,April,5,2004,2,S10_4698,Vitachrome Inc.,Michael Frick,2125551500,2678 Kingston Rd.,NYC,USA
10251,Motorcycles,43,Large,100,4300,193,8299,-3999,4,Shipped,May,18,2004,2,S10_4698,Tekni Collectables Inc.,William Brown,2015559350,7476 Moss Rd.,Newark,USA
10263,Motorcycles,41,Large,100,4100,193,7913,-3813,4,Shipped,June,28,2004,2,S10_4698,Gift Depot Inc.,Julie King,2035552570,25593 South Bay Ln.,Bridgewater,USA
10275,Motorcycles,36,Medium,100,3600,193,6948,-3348,3,Shipped,July,23,2004,3,S10_4698,La Rochelle Gifts,Janine Labrune,40.67.8555,"67, rue des Cinquante Otages",Nantes,France
10285,Motorcycles,27,Medium,100,2700,193,5211,-2511,8,Shipped,August,27,2004,3,S10_4698,Marta's Replicas Co.,Marta Hernandez,6175558555,39323 Spinnaker Dr.,Cambridge,USA
10299,Motorcycles,29,Medium,100,2900,193,5597,-2697,11,Shipped,September,30,2004,3,S10_4698,"Toys of Finland, Co.",Matti Karttunen,90-224 8555,Keskuskatu 45,Helsinki,Finland
10308,Motorcycles,20,Medium,100,2000,193,3860,-1860,1,Shipped,October,15,2004,4,S10_4698,Mini Classics,Steve Frick,9145554562,3758 North Pendale Street,White Plains,USA
10318,Motorcycles,37,Large,100,3700,193,7141,-3441,3,Shipped,November,2,2004,4,S10_4698,Diecast Classics Inc.,Kyung Yu,2155551555,7586 Pompton St.,Allentown,USA
10329,Motorcycles,26,Medium,100,2600,193,5018,-2418,3,Shipped,November,15,2004,4,S10_4698,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10339,Motorcycles,39,Small,76.67,2990.13,193,7527,-4536.87,3,Shipped,November,23,2004,4,S10_4698,"Tokyo Collectables, Ltd",Akiko Shimamura,+81 3 3584 0555,2-2-8 Roppongi,Minato-ku,Japan
10362,Motorcycles,22,Medium,100,2200,193,4246,-2046,4,Shipped,January,5,2005,1,S10_4698,Technics Stores Inc.,Juri Hirano,6505556809,9408 Furth Circle,Burlingame,USA
10374,Motorcycles,22,Medium,100,2200,193,4246,-2046,1,Shipped,February,2,2005,1,S10_4698,"Australian Gift Network, Co",Tony Calaghan,61-7-3844-6555,31 Duncan St. West End,South Brisbane,Australia
10388,Motorcycles,21,Small,86.77,1822.17,193,4053,-2230.83,7,Shipped,March,3,2005,1,S10_4698,FunGiftIdeas.com,Violeta Benitez,5085552555,1785 First Street,New Bedford,USA
10403,Motorcycles,66,Large,100,6600,193,12738,-6138,9,Shipped,April,8,2005,2,S10_4698,"UK Collectables, Ltd.",Elizabeth Devon,(171) 555-2282,Berkeley Gardens 12  Brewery,Liverpool,UK
10417,Motorcycles,56,Large,100,5600,193,10808,-5208,4,Disputed,May,13,2005,2,S10_4698,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10105,Classic Cars,50,Large,100,5000,136,6800,-1800,2,Shipped,February,11,2003,1,S10_4757,Danish Wholesale Imports,Jytte Petersen,31 12 3555,Vinb'ltet 34,Kobenhavn,Denmark
10119,Classic Cars,46,Medium,100,4600,136,6256,-1656,11,Shipped,April,28,2003,2,S10_4757,Salzburg Collectables,Georg Pipps,6562-9555,Geislweg 14,Salzburg,Austria
10129,Classic Cars,33,Medium,100,3300,136,4488,-1188,2,Shipped,June,12,2003,2,S10_4757,"Stylish Desk Decors, Co.",Ann Brown,(171) 555-0297,35 King George,London,UK
10143,Classic Cars,49,Medium,100,4900,136,6664,-1764,15,Shipped,August,10,2003,3,S10_4757,Mini Creations Ltd.,Wing C Tam,5085559555,4575 Hillside Dr.,New Bedford,USA
10155,Classic Cars,32,Medium,100,3200,136,4352,-1152,13,Shipped,October,6,2003,4,S10_4757,"Toys of Finland, Co.",Matti Karttunen,90-224 8555,Keskuskatu 45,Helsinki,Finland
10167,Classic Cars,44,Medium,100,4400,136,5984,-1584,9,Cancelled,October,23,2003,4,S10_4757,Scandinavian Gift Ideas,Maria Larsson,0695-34 6555,?kergatan 24,Boras,Sweden
10178,Classic Cars,24,Medium,100,2400,136,3264,-864,12,Shipped,November,8,2003,4,S10_4757,Alpha Cognac,Annette Roulet,61.77.6555,1 rue Alsace-Lorraine,Toulouse,France
10186,Classic Cars,26,Medium,100,2600,136,3536,-936,9,Shipped,November,14,2003,4,S10_4757,"Double Decker Gift Stores, Ltd",Thomas Hardy,(171) 555-7555,120 Hanover Sq.,London,UK
10197,Classic Cars,45,Medium,100,4500,136,6120,-1620,6,Shipped,November,26,2003,4,S10_4757,Enaco Distributors,Eduardo Saavedra,(93) 203 4555,"Rambla de Catalu¤a, 23",Barcelona,Spain
10209,Classic Cars,39,Medium,100,3900,136,5304,-1404,8,Shipped,January,9,2004,1,S10_4757,"Men 'R' US Retailers, Ltd.",Michael Chandler,2155554369,6047 Douglas Av.,Los Angeles,USA
10222,Classic Cars,49,Medium,100,4900,136,6664,-1764,12,Shipped,February,19,2004,1,S10_4757,Collectable Mini Designs Co.,Valarie Thompson,7605558146,361 Furth Circle,San Diego,USA
10248,Classic Cars,20,Small,100,2000,136,2720,-720,3,Cancelled,May,7,2004,2,S10_4757,Land of Toys Inc.,Kwai Yu,2125557818,897 Long Airport Avenue,NYC,USA
10261,Classic Cars,27,Medium,100,2700,136,3672,-972,1,Shipped,June,17,2004,2,S10_4757,Quebec Home Shopping Network,Jean Fresnisre,(514) 555-8054,43 rue St. Laurent,Montreal,Canada
10273,Classic Cars,30,Medium,100,3000,136,4080,-1080,4,Shipped,July,21,2004,3,S10_4757,Petit Auto,Catherine Dewey,(02) 5554 67,Rue Joseph-Bens 532,Bruxelles,Belgium
10283,Classic Cars,25,Small,100,2500,136,3400,-900,6,Shipped,August,20,2004,3,S10_4757,"Royal Canadian Collectables, Ltd.",Elizabeth Lincoln,(604) 555-4555,23 Tsawassen Blvd.,Tsawassen,Canada
10295,Classic Cars,24,Medium,100,2400,136,3264,-864,1,Shipped,September,10,2004,3,S10_4757,Gifts4AllAges.com,Juri Yoshido,6175559555,8616 Spinnaker Dr.,Boston,USA
10307,Classic Cars,22,Small,100,2200,136,2992,-792,9,Shipped,October,14,2004,4,S10_4757,"Classic Gift Ideas, Inc",Francisca Cervantes,2155554695,782 First Street,Philadelphia,USA
10316,Classic Cars,33,Medium,100,3300,136,4488,-1188,17,Shipped,November,1,2004,4,S10_4757,giftsbymail.co.uk,Helen Bennett,(198) 555-8888,Garden House Crowther Way,Cowes,UK
10325,Classic Cars,47,Medium,64.93,3051.71,136,6392,-3340.29,6,Shipped,November,5,2004,4,S10_4757,Baane Mini Imports,Jonas Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,Norway
10337,Classic Cars,25,Small,48.05,1201.25,136,3400,-2198.75,8,Shipped,November,21,2004,4,S10_4757,Classic Legends Inc.,Maria Hernandez,2125558493,5905 Pompton St.,NYC,USA
10350,Classic Cars,26,Small,75.47,1962.22,136,3536,-1573.78,5,Shipped,December,2,2004,4,S10_4757,Euro Shopping Channel,Diego Freyre,(91) 555 94 44,"C/ Moralzarzal, 86",Madrid,Spain
10359,Classic Cars,48,Small,54.68,2624.64,136,6528,-3903.36,6,Shipped,December,15,2004,4,S10_4757,Reims Collectables,Paul Henriot,26.47.1555,59 rue de l'Abbaye,Reims,France
10373,Classic Cars,39,Medium,100,3900,136,5304,-1404,3,Shipped,January,31,2005,1,S10_4757,"Oulu Toy Supplies, Inc.",Pirkko Koskitalo,981-443655,Torikatu 38,Oulu,Finland
10384,Classic Cars,34,Medium,100,3400,136,4624,-1224,4,Shipped,February,23,2005,1,S10_4757,Corporate Gift Ideas Co.,Julie Brown,6505551386,7734 Strong St.,San Francisco,USA
10395,Classic Cars,32,Medium,100,3200,136,4352,-1152,2,Shipped,March,17,2005,1,S10_4757,Lyon Souveniers,Daniel Da Cunha,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,Paris,France
10400,Classic Cars,64,Large,100,6400,136,8704,-2304,9,Shipped,April,1,2005,2,S10_4757,The Sharp Gifts Warehouse,Sue Frick,4085553659,3086 Ingle Ln.,San Jose,USA
10414,Classic Cars,19,Small,100,1900,136,2584,-684,3,On Hold,May,6,2005,2,S10_4757,Gifts4AllAges.com,Juri Yoshido,6175559555,8616 Spinnaker Dr.,Boston,USA
10103,Classic Cars,42,Medium,100,4200,147,6174,-1974,4,Shipped,January,29,2003,1,S10_4962,Baane Mini Imports,Jonas Bergulfsen,07-98 9555,Erling Skakkes gate 78,Stavern,Norway
10114,Classic Cars,31,Medium,100,3100,147,4557,-1457,8,Shipped,April,1,2003,2,S10_4962,"La Corne D'abondance, Co.",Marie Bertrand,(1) 42.34.2555,"265, boulevard Charonne",Paris,France
10126,Classic Cars,22,Medium,100,2200,147,3234,-1034,4,Shipped,May,28,2003,2,S10_4962,"Corrida Auto Replicas, Ltd",Mart¡n Sommer,(91) 555 22 82,"C/ Araquil, 67",Madrid,Spain
